Workouts,METS
sleeping,0.92
walking,3.80
aerobics,6.83
soccer,7.00
baseball,5.00
basketball,8.00
football,8.00
hockey,8.00
volleyball,5.50
rugby,10.00
softball,5.00
biking,8.00
boating,4.64
bowling,3.00
climbing,9.50
hiking,6.00
dancing,4.50
fencing,4.00
fishing,4.50
golfing,3.75
gymnastics,4.00
hunting,4.50
weightlifting,3.00
wrestling,6.00
yoga,3.00
